gene	nectophore_developing	gastrozooid_mature	palpon_mature	gastrozooid_developing	palpon_developing	gonodendron_female_mature	pneumatophore_mature	gonodendron_male_mature
ANN22940-RA	0	0	0	0	0	0	9.60062407723527	0
ANN22941-RA	0	0	0	0	0	0	0	0
ANN22942-RA	1.51989320336796	0	1.40754378318328	0	0.196694547716664	0	0.443835234226461	13.5013928226239
ANN22943-RA	3.09933196561222	0	0	0	1.98214362184055	0	0	0
ANN22945-RA	5.95379708724812	0.302344327851345	5.23975060599973	1.92851124106248	3.34826613055168	3.00133623542476	0.740179312837562	0
ANN22946-RA	1.50941528313699	0	0	0	0	0	0	0
ANN22947-RA	7.93783666212118	0.457731082051763	2.92966361882725	1.52067039784938	0.658973687385747	0	0	0
ANN22948-RA	371.717753866006	724.092235546726	218.411095289501	480.61552197611	326.138261031865	382.42231107371	383.669216947566	864.249202530206
ANN22949-RA	1112.98114782609	745.640102774544	445.863433863573	1219.73209245193	933.239645943599	585.016014335852	686.985147725479	50.0747374094721
ANN22950-RA	67.7543516789473	47.3014056777291	50.1523072369209	55.7991838792154	59.946299519658	213.980260315845	114.943824449477	206.431426519786
ANN22951-RA	83.5504954797264	62.2970529153124	53.0446628038356	94.4088680042387	47.5007138219662	171.438563308265	54.804656993345	16.0855268966662
ANN22952-RA	26.5928677529335	21.8457154561171	9.99952058940886	60.8753268877706	30.5297582678465	131.161179492604	28.5190255304704	26.4474171875816
ANN22953-RA	9.85661392634745	0.797503454364876	4.41387969050329	1.19061701911709	1.09136339812967	1.24441847548796	0	0
ANN22954-RA	1.42494015700897	4.19170710162031	6.9319135662387	2.61005892824867	8.3827029829247	0.977850887632185	1.15654686192027	0
ANN22955-RA	0	0	0	0.605433098580003	0	0	0	0
ANN22956-RA	1133.76070895289	0.878729007183096	3.91833665489734	5.51184660390968	1.23952204410431	1.25860409797304	690.618322248891	3.30586594247268
ANN22957-RA	139.252131361809	0	0	0	0	0	137.794157355437	0
ANN22958-RA	25.2817486093973	2.08523799884531	6.66460367523324	2.61959474909262	5.9668598213485	1.32835394941449	0	0
ANN22959-RA	69.490865341096	3.55122394420414	31.2050663669037	7.28656540145913	13.5129747073067	1.62901644261404	3.80935403932144	0
ANN22960-RA	12.8586827294572	0.30173777772358	9.03170142227523	2.97172381597846	1.36642777066396	3.72777207600776	4.64200954599697	0
